t,power_W,seed,backend,seq_len,batch_id
472.588896986,62.099,11,eafa,512,0
472.632412391,53.87,11,eafa,512,0
472.676045701,53.87,11,eafa,512,0
472.726285009,66.954,11,eafa,512,0
472.771417345,66.954,11,eafa,512,0
472.814380354,67.686,11,eafa,512,0
472.857375765,67.686,11,eafa,512,0
472.900389191,67.686,11,eafa,512,0
472.950222914,67.341,11,eafa,512,0
472.993375064,67.341,11,eafa,512,0
473.036466719,69.908,11,eafa,512,0
473.079563694,69.908,11,eafa,512,0
473.122543495,68.362,11,eafa,512,0
473.16560911,68.362,11,eafa,512,0
473.214176092,69.425,11,eafa,512,0
473.257333011,69.425,11,eafa,512,0
473.30051533,69.425,11,eafa,512,0
473.488689106,36.751,11,eafa,512,1
473.534724388,93.952,11,eafa,512,1
473.583981068,93.952,11,eafa,512,1
473.627094524,68.405,11,eafa,512,1
473.670848545,68.405,11,eafa,512,1
473.713862131,68.405,11,eafa,512,1
473.760335219,69.522,11,eafa,512,1
473.804181988,69.522,11,eafa,512,1
473.847180194,71.603,11,eafa,512,1
473.890158422,71.603,11,eafa,512,1
473.933142521,67.492,11,eafa,512,1
473.976171747,67.492,11,eafa,512,1
474.019204829,67.492,11,eafa,512,1
474.0621899,70.392,11,eafa,512,1
474.108055077,70.392,11,eafa,512,1
474.151223548,69.522,11,eafa,512,1
474.194379927,69.522,11,eafa,512,1
474.262071721,54.064,11,eafa,512,2
474.308377621,54.064,11,eafa,512,2
474.355524948,80.285,11,eafa,512,2
474.398707748,80.285,11,eafa,512,2
474.441720642,67.438,11,eafa,512,2
474.484742944,67.438,11,eafa,512,2
474.533794331,69.672,11,eafa,512,2
474.578118633,69.672,11,eafa,512,2
474.621103944,69.672,11,eafa,512,2
474.664181131,69.672,11,eafa,512,2
474.707402023,69.672,11,eafa,512,2
474.757168788,68.652,11,eafa,512,2
474.80022256,68.652,11,eafa,512,2
474.843296261,69.575,11,eafa,512,2
474.886335696,69.575,11,eafa,512,2
474.929556076,69.575,11,eafa,512,2
474.972722464,69.522,11,eafa,512,2
475.044738521,32.773,11,eafa,512,3
475.087488743,32.773,11,eafa,512,3
475.130665331,32.773,11,eafa,512,3
475.173720145,69.565,11,eafa,512,3
475.221401343,69.565,11,eafa,512,3
475.265180582,70.198,11,eafa,512,3
475.308744069,70.198,11,eafa,512,3
475.351701728,70.444,11,eafa,512,3
475.394651271,70.444,11,eafa,512,3
475.437757343,70.444,11,eafa,512,3
475.487985831,69.039,11,eafa,512,3
475.531015938,69.039,11,eafa,512,3
475.574034343,69.961,11,eafa,512,3
475.617090189,69.961,11,eafa,512,3
475.660156044,69.232,11,eafa,512,3
475.70736517,69.232,11,eafa,512,3
475.750436586,67.438,11,eafa,512,3
475.816641896,67.438,11,eafa,512,4
475.859400654,88.632,11,eafa,512,4
475.902307015,88.632,11,eafa,512,4
475.945878126,88.632,11,eafa,512,4
475.994095499,69.232,11,eafa,512,4
